Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,1333,2013
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1302,2013
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985,1088,2013
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1086,2013
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,923,2013
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,712,2013
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,599,2013
8,The Beast,Kings Island,"Kings Mills, Ohio",KECO,1979,555,2013
9,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,364,2013
10,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",CCI,1998,304,2013
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,1480,2014
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1291,2014
3,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1129,2014
4,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985,1036,2014
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,837,2014
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,719,2014
7,Gold Striker,California’s Great America,"Santa Clara, Calif.",GCII,2013,619,2014
8,The Beast,Kings Island,"Mason, Ohio",KECO,1979,614,2014
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,605,2014
10,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,393,2014
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,1625,2015
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1464,2015
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985,1301,2015
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1184,2015
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,904,2015
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,740,2015
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,722,2015
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,637,2015
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",GCII,2013,560,2015
10,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,421,2015
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,1216,2016
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn-PTC/Schmeck,1985,1144,2016
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1121,2016
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1028,2016
5,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,692,2016
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,670,2016
7,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,641,2016
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,611,2016
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,525,2016
10,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,347,2016
11,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,336,2016
12,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,292,2016
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,267,2016
14,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,256,2016
15,The Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,245,2016
16,The Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,241,2016
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,233,2016
18,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,222,2016
19,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,213,2016
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,208,2016
21,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,206,2016
22,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,179,2016
23,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,175,2016
24,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,174,2016
25,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,166,2016
25,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2009,166,2016
27,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,165,2016
28,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,153,2016
29,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,141,2016
30,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,141,2016
31,The Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,140,2016
32,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,132,2016
33,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,129,2016
