Date,PFE,TGT,M,VZ,JPM,MRO,KO,PG,CVS,HPQ
2007-12-31,22.79,50.75,25.26,44.335,43.13,62.3,62.06,74.25,39.95,51.29
2008-03-31,20.67,49.76,21.99,36.06,42.72,46.42,60.64,69.56,40.82,46.0
2008-06-30,17.29,47.85,19.27,34.27,34.86,51.31,51.86,60.69,39.49,44.6
2008-09-30,17.93,48.59,17.54,31.43,44.63,38.67,51.81,67.19,33.04,45.23
2008-12-31,17.65,33.22,9.27,33.18,30.7,26.6,45.17,61.35,28.45,36.14
2009-03-31,13.8,33.49,9.01,30.54,25.73,26.07,44.27,47.56,27.44,32.5
2009-06-30,15.27,39.58,11.96,31.44,34.6,30.08,48.21,52.23,32.19,38.85
2009-09-30,16.88,46.95,18.27,30.27,44.8,32.42,53.32,57.84,35.96,47.26
2009-12-31,18.39,48.79,17.21,33.45,41.62,31.46,57.58,61.52,32.61,52.82
2010-03-31,17.18,53.51,21.93,31.21,44.31,31.4,54.79,63.53,36.91,52.89
2010-06-30,14.215,49.04,17.85,28.76,37.02,31.53,50.38,60.13,29.94,44.23
2010-09-30,17.48,53.72,23.29,32.75,38.49,33.23,58.86,60.32,31.33,42.96
2010-12-31,17.44,59.94,25.19,35.62,42.11,36.84,65.36,64.08,34.86,42.19
2011-03-31,20.27,50.07,24.14,38.53,46.05,53.25,65.96,61.76,33.55,41.31
2011-06-30,20.68,46.67,28.82,36.88,40.72,51.84,66.98,62.73,37.01,36.3
2011-09-30,17.76,49.74,26.92,36.93,30.74,22.14,68.45,63.4,33.68,23.57
2011-12-31,21.49,51.74,32.59,39.85,33.11,29.25,70.0,66.88,41.14,25.52
2012-03-31,22.45,58.09,40.24,38.32,46.08,31.94,73.62,67.15,44.59,23.63
2012-06-30,22.83,57.86,34.34,44.42,36.7,25.27,77.13,60.65,46.57,19.85
2012-09-30,25.0,63.53,37.29,45.63,40.42,29.79,38.17,69.25,48.12,17.17
2012-12-31,24.67,58.5,37.2,42.53,43.1,29.69,35.88,67.0,47.76,13.65
2013-03-31,28.66,69.19,41.68,48.99,47.84,33.96,40.38,76.95,54.95,23.5
2013-06-30,28.54,68.64,48.24,50.93,53.12,35.0,40.25,77.62,57.26,24.55
2013-09-30,28.71,63.52,43.08,46.57,51.73,34.77,38.19,76.8,57.47,20.94
2013-12-31,30.62,62.57,53.63,49.0,58.2,35.28,41.13,81.83,71.8,27.92
2014-03-31,31.96,60.24,59.13,47.66,60.83,35.34,38.99,80.0,74.81,32.29
2014-06-30,29.76,58.09,58.77,49.27,57.44,39.55,41.98,79.01,75.74,33.89
2014-09-30,29.77,62.86,58.9,49.67,60.4,38.51,42.1,84.34,80.0,35.19
2014-12-31,31.18,75.45,65.55,47.08,63.3,28.15,42.92,92.04,97.78,40.75
2015-03-31,34.89,82.22,64.44,49.09,60.72,26.04,40.51,82.76,103.82,31.29
2015-06-30,33.79,82.65,67.92,47.14,67.89,27.0,39.61,78.92,105.44,30.07
2015-09-30,31.45,78.82,50.99,43.83,60.7,15.14,39.88,72.86,96.33,25.07
2015-12-31,32.47,73.21,35.27,46.52,66.19,12.33,43.3,79.91,98.62,11.83
2016-03-31,30.06,82.5,44.09,54.01,59.45,10.52,46.55,82.75,104.0,12.3
2016-06-30,35.14,70.2,33.45,55.27,61.63,15.02,44.52,83.91,94.8,12.27
2016-09-30,33.44,67.77,36.39,52.43,66.08,15.95,42.21,88.3,89.48,15.47
2016-12-31,32.34,72.71,36.36,53.55,86.1,17.57,41.69,84.17,78.96,15.0
2017-03-31,34.21,55.2,29.46,49.1,88.71,15.8,42.55,90.03,77.6,17.61
2017-06-30,33.73,52.25,23.08,44.62,91.96,11.78,44.89,87.05,80.52,17.66
2017-09-30,35.64,59.1,22.06,49.3,95.3,13.45,44.86,90.97,81.39,20.0
2017-12-31,36.23,65.21,25.74,53.37,108.09,17.15,45.7,92.24,72.96,21.17
2018-03-31,35.18,70.79,27.9,47.1,111.07,16.39,42.7,76.53,61.73,22.23
