Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1204,2013
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1011,2013
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,598,2013
4,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,596,2013
5,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,542,2013
6,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,512,2013
7,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,494,2013
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,478,2013
9,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,416,2013
10,Intimidator-305,Kings Dominion,"Doswell, Va.",Intamin,2010,412,2013
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1139,2014
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1049,2014
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,764,2014
4,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,579,2014
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,563,2014
6,Leviathan,Canada’s Wonderland,"Vaughan, Ont., Canada",B&M,2012,500,2014
7,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,484,2014
8,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,465,2014
9,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,422,2014
10,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,387,2014
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1205,2015
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,929,2015
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,714,2015
4,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,671,2015
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,650,2015
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,597,2015
7,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,499,2015
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,491,2015
9,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,462,2015
10,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,450,2015
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1126,2016
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1122,2016
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,698,2016
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,613,2016
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,454,2016
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,397,2016
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,393,2016
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,350,2016
9,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,330,2016
10,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,329,2016
11,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,311,2016
12,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,306,2016
13,Banshee,Kings Island,"Mason, Ohio",B&M,2014,286,2016
14,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,283,2016
15,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,279,2016
16,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,272,2016
17,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,268,2016
18,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,265,2016
19,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,258,2016
20,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,255,2016
21,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,254,2016
22,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,203,2016
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,202,2016
24,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,198,2016
25,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,178,2016
26,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,175,2016
27,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,168,2016
28,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,166,2016
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,165,2016
30,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,144,2016
31,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,128,2016
32,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,122,2016
32,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,122,2016
34,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,113,2016
35,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,110,2016
36,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012,107,2016
37,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,105,2016
38,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,99,2016
39,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,97,2016
42,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,94,2016
42,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,94,2016
42,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2016
42,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,92,2016
44,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,90,2016
45,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,85,2016
46,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989,81,2016
47,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,80,2016
48,Bizarro,Six Flags Great Adventure,"Jackson, N.J.",B&M,1999,74,2016
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,72,2016
49,GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013,72,2016
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1354,2017
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1129,2017
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,705,2017
4,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,657,2017
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,575,2017
6,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,481,2017
7,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,442,2017
8,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,381,2017
9,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,379,2017
10,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,375,2017
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,374,2017
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,344,2017
13,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,330,2017
14,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,291,2017
14,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,291,2017
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,284,2017
17,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,276,2017
18,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,272,2017
