rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
2550,0.0,1,480,9,2.0,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan
11500,2.0,2,2000,4,1.0,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
3000,3.0,1,1000,4,1.0,106,0,0,0,0,0,0,0,0,Astoria,Queens
4500,1.0,1,916,2,51.0,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
4795,1.0,1,975,3,8.0,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
3600,3.0,2,900,4,1.0,15,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Queens
17500,2.0,2,4800,3,4.0,136,0,0,0,1,1,1,0,1,Soho,Manhattan
3500,1.0,1,996,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
3800,3.0,2,1100,3,5.0,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
3900,3.0,2,1000,4,9.0,8,0,0,0,0,1,0,0,0,Greenwood,Brooklyn
1995,0.0,0,600,6,1.0,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2995,0.0,1,579,6,21.0,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
2700,2.0,1,900,4,2.0,96,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
15000,2.0,2,1715,0,30.0,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan
4650,1.0,1,915,5,5.0,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
2950,1.0,1,550,43,17.0,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
4900,1.0,1,1216,6,3.0,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
6920,3.0,2,1439,7,9.0,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
4875,1.0,1,900,1,14.0,52,1,0,1,1,1,1,0,1,East Village,Manhattan
4850,1.0,1,789,2,40.0,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1725,1.0,1,800,1,2.0,89,0,0,0,0,0,0,0,0,Astoria,Queens
3700,1.0,1,947,5,5.0,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
3900,0.0,1,1100,3,4.0,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4200,2.0,1,900,4,8.0,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1700,1.0,1,730,10,3.0,7,0,0,0,0,0,0,0,0,Briarwood,Queens
2550,2.0,1,1000,4,3.0,20,1,0,0,0,0,0,0,0,Forest Hills,Queens
2195,1.0,1,500,3,3.0,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
