price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,comes_furnished,laundry_options,parking_options
1130,apartment,684,1,1.0,0,0,0,0,0,w/d in unit,carport
1190,condo,2190,4,2.0,1,1,1,0,0,,
1333,apartment,805,2,1.5,1,1,1,0,0,,
2440,apartment,850,1,1.0,0,1,1,0,0,w/d in unit,
1250,condo,1500,3,2.0,0,0,1,0,1,w/d in unit,off-street parking
675,apartment,750,2,1.0,0,0,1,0,0,laundry in bldg,off-street parking
1465,apartment,1067,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
1295,house,1035,3,2.0,0,0,1,0,0,w/d hookups,attached garage
1076,apartment,690,1,1.0,1,1,1,0,0,w/d hookups,off-street parking
950,duplex,940,2,1.0,1,1,0,0,0,laundry in bldg,off-street parking
1300,condo,1150,2,2.0,0,0,0,0,0,w/d in unit,detached garage
815,apartment,851,1,1.0,1,1,1,0,0,laundry on site,off-street parking
1400,duplex,1408,2,1.0,1,1,0,0,0,laundry in bldg,detached garage
1120,townhouse,980,2,1.5,1,1,1,0,0,w/d in unit,off-street parking
1095,apartment,960,2,2.0,0,0,0,0,0,w/d in unit,off-street parking
1200,apartment,1165,3,2.0,1,1,1,0,0,w/d hookups,
1245,apartment,1129,2,2.0,1,1,0,0,0,w/d in unit,off-street parking
1595,apartment,625,0,1.0,1,1,1,0,0,no laundry on site,
1175,townhouse,1275,3,2.5,1,1,1,0,0,w/d hookups,
1100,apartment,900,2,1.0,1,0,0,0,0,w/d hookups,off-street parking
1700,house,1600,3,1.5,0,0,0,0,0,w/d in unit,attached garage
659,apartment,600,1,1.0,1,1,1,0,0,,
1140,apartment,703,1,1.0,1,0,1,0,0,w/d in unit,off-street parking
550,apartment,381,1,1.0,0,0,0,0,1,laundry on site,off-street parking
1100,condo,900,2,2.0,0,0,1,0,0,laundry on site,off-street parking
700,apartment,746,2,1.0,1,1,1,0,0,laundry on site,
1015,apartment,1100,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
1610,apartment,1056,2,1.5,1,1,1,0,0,w/d hookups,
1799,apartment,1554,2,2.0,1,1,1,0,0,w/d in unit,attached garage
2300,house,1700,4,3.0,1,1,1,0,0,w/d hookups,attached garage
827,apartment,950,2,2.0,1,1,1,0,0,,
1200,apartment,900,3,1.0,0,0,0,0,0,laundry in bldg,off-street parking
995,apartment,1000,2,1.0,1,1,0,0,0,w/d in unit,street parking
945,apartment,828,1,1.0,0,0,1,0,0,,
868,apartment,908,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
799,townhouse,864,2,1.5,1,1,1,0,0,w/d in unit,
1002,apartment,747,1,1.0,1,1,1,1,0,w/d in unit,street parking
925,apartment,600,1,1.0,0,0,0,0,0,laundry on site,off-street parking
1474,apartment,1200,2,2.0,1,1,1,0,0,w/d in unit,carport
899,apartment,1125,2,0.0,1,1,1,0,0,,
543,house,1838,3,2.0,0,0,1,0,0,,
539,apartment,1064,4,2.0,0,0,1,0,1,laundry on site,off-street parking
523,apartment,625,1,1.0,1,1,0,0,0,laundry on site,
1099,apartment,965,2,1.0,1,1,1,0,0,w/d in unit,carport
700,house,914,3,1.0,0,0,1,0,0,w/d hookups,street parking
800,house,1450,2,2.0,0,0,0,0,0,w/d hookups,carport
750,apartment,600,1,1.0,1,1,1,0,0,w/d hookups,
960,apartment,937,2,1.0,1,1,0,0,0,laundry in bldg,carport
1230,apartment,1160,2,2.0,1,1,1,0,0,w/d in unit,off-street parking
1615,apartment,999,2,2.0,1,1,1,0,0,w/d in unit,
2095,apartment,700,1,1.0,1,1,1,0,0,w/d in unit,
1650,house,1700,3,2.0,0,0,1,0,0,w/d hookups,attached garage
1200,house,1060,4,2.0,1,1,1,0,0,w/d hookups,carport
1608,apartment,1104,2,2.0,1,1,1,0,0,w/d in unit,
1014,apartment,1165,3,2.0,1,1,1,0,0,w/d in unit,
325,apartment,300,1,1.0,0,0,1,0,1,laundry in bldg,off-street parking
1089,apartment,792,1,1.0,1,1,1,0,0,w/d in unit,
1147,apartment,725,1,1.0,0,0,1,0,0,,
1355,apartment,922,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
809,apartment,900,1,1.0,1,1,1,0,0,laundry on site,off-street parking
990,apartment,898,1,1.0,1,1,0,0,0,w/d in unit,street parking
550,apartment,565,1,1.0,0,0,0,0,0,w/d hookups,off-street parking
1720,apartment,968,2,2.0,0,0,1,0,0,laundry in bldg,off-street parking
719,apartment,705,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
1550,apartment,711,2,1.0,1,1,0,0,0,laundry in bldg,off-street parking
938,apartment,907,1,1.5,1,1,0,0,0,laundry in bldg,off-street parking
1367,apartment,1032,2,2.0,1,1,1,0,0,w/d in unit,
1299,apartment,878,2,1.0,1,0,0,0,0,w/d in unit,carport
989,apartment,910,1,1.0,1,1,1,1,0,w/d in unit,off-street parking
