address,age,math1,math2,math3,port1,port2,port3
R,15,3.5,5.0,5.0,6.5,6.5,6.5
R,15,4.0,3.0,2.5,6.5,5.5,5.5
R,15,7.0,6.5,6.5,7.0,6.5,6.0
R,15,5.0,4.5,4.0,5.0,5.5,5.0
R,15,5.0,5.0,5.0,6.5,6.5,6.5
R,15,6.0,6.0,5.5,5.5,6.0,6.0
R,15,6.0,0.0,0.0,5.0,5.5,6.0
R,15,4.0,4.5,4.0,5.5,5.0,5.5
R,15,8.0,8.0,8.0,7.5,7.5,7.5
U,15,5.0,5.5,5.5,5.0,5.0,5.0
U,15,7.0,7.5,7.5,7.5,7.0,7.5
U,15,4.0,0.0,0.0,5.5,6.0,6.5
U,15,4.5,5.0,5.0,6.5,6.0,6.0
U,15,4.0,5.5,5.5,6.0,6.0,6.0
U,15,5.0,5.5,5.5,6.5,6.0,6.5
U,15,8.0,7.5,7.5,7.0,7.0,7.0
U,15,5.0,6.0,6.0,5.0,6.0,6.5
U,15,3.5,4.0,4.0,5.0,5.0,5.0
U,15,4.0,3.5,3.0,5.5,5.5,5.5
U,15,3.0,3.5,0.0,5.5,5.5,5.5
U,15,3.5,3.0,3.0,5.5,5.0,5.0
U,15,7.5,7.0,7.5,7.0,7.0,7.0
U,15,6.5,7.0,7.0,7.5,7.5,7.5
U,15,8.0,8.5,9.0,7.0,6.5,6.5
U,15,5.5,0.0,0.0,6.5,7.0,7.5
U,15,4.0,5.0,5.5,6.5,6.0,6.0
U,15,3.5,4.5,4.0,6.0,5.5,6.0
U,15,3.5,3.5,3.5,6.5,6.0,6.0
U,15,5.0,4.0,4.5,7.0,7.0,7.0
U,15,4.5,5.5,5.5,6.5,6.5,6.5
U,15,8.0,8.0,7.5,6.5,7.0,7.0
U,15,5.0,6.5,6.5,6.5,6.0,6.5
U,15,3.5,5.0,5.5,5.0,5.5,5.5
U,15,4.0,4.0,3.0,5.0,5.5,5.5
U,15,3.5,4.0,5.0,6.0,6.5,6.0
U,15,3.5,3.0,3.0,6.0,5.5,5.5
U,15,5.5,6.5,6.5,8.0,7.0,8.0
U,15,5.0,5.0,5.0,6.5,6.0,6.0
R,16,5.0,5.0,5.5,6.5,6.5,6.5
R,16,3.5,5.0,5.0,5.5,5.5,5.5
R,16,5.0,5.5,5.5,8.5,8.0,8.0
U,16,4.0,4.5,5.0,6.0,6.5,6.0
U,16,6.0,6.5,7.0,6.5,6.5,6.5
U,16,3.5,3.5,3.5,5.5,5.5,6.0
U,16,2.0,0.0,0.0,4.5,4.5,5.0
U,16,6.0,5.5,5.5,7.5,6.5,7.0
U,16,4.5,4.5,5.0,6.0,6.5,6.5
U,16,5.0,4.0,5.5,5.0,5.0,8.0
U,16,4.0,3.5,0.0,7.0,6.5,6.5
U,16,4.0,4.5,5.0,6.5,6.0,6.0
U,16,6.5,6.0,6.0,4.5,5.0,5.0
U,16,5.0,6.5,6.5,4.0,5.0,5.0
U,16,3.0,3.5,0.0,6.0,6.0,6.5
U,16,4.0,3.5,4.0,6.0,5.5,5.5
U,16,5.5,5.5,5.5,6.5,6.5,6.5
U,16,6.5,6.5,5.5,6.5,6.0,7.0
U,16,3.0,4.5,4.0,5.0,5.5,6.0
U,16,4.0,5.0,5.0,5.5,6.0,6.0
U,16,5.5,6.0,6.5,6.0,6.0,6.5
U,16,8.0,8.0,8.5,6.5,6.5,7.0
U,16,3.5,3.5,3.0,5.0,4.5,5.0
U,16,6.0,6.5,6.0,7.0,7.5,8.0
U,16,3.0,5.0,5.0,5.5,6.5,6.5
U,16,3.5,3.5,4.0,4.5,5.5,5.5
U,16,4.0,5.0,5.0,6.5,7.0,7.0
U,16,5.5,6.0,5.5,5.5,5.5,5.5
U,16,2.5,2.5,2.5,6.0,5.5,5.5
U,16,7.0,7.5,8.0,8.5,8.5,9.0
U,16,7.5,8.0,8.0,8.0,7.5,8.0
U,16,5.5,5.0,5.0,6.5,7.0,7.0
U,16,8.0,8.0,8.0,7.0,7.0,7.5
U,16,3.5,4.5,4.0,6.0,6.5,6.5
U,16,5.0,4.5,4.5,7.0,6.5,6.5
