temp,humid,wind,rain,FFMC,DMC,DC,ISI,BUI,FWI,region,fire
29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,Bejaia,False
29.0,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,Bejaia,False
26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,Bejaia,False
25.0,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,Bejaia,False
27.0,77.0,16.0,0.0,64.8,3.0,14.2,1.2,3.9,0.5,Bejaia,False
31.0,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,2.5,Bejaia,True
33.0,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,Bejaia,True
30.0,73.0,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,Bejaia,True
25.0,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,Bejaia,False
28.0,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,Bejaia,False
31.0,65.0,14.0,0.0,84.5,12.5,54.3,4.0,15.8,5.6,Bejaia,True
26.0,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,Bejaia,True
27.0,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,Bejaia,False
30.0,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,Bejaia,False
28.0,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,Bejaia,False
29.0,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,Bejaia,False
30.0,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,Bejaia,False
31.0,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,Bejaia,False
31.0,55.0,16.0,0.1,79.9,4.5,16.0,2.5,5.3,1.4,Bejaia,False
30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,Bejaia,False
30.0,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,Bejaia,True
31.0,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,Bejaia,False
32.0,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,Bejaia,True
32.0,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,Bejaia,True
31.0,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,Bejaia,True
31.0,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,Bejaia,True
34.0,53.0,18.0,0.0,89.0,21.6,80.3,9.2,25.8,15.0,Bejaia,True
32.0,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,Bejaia,True
32.0,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,Bejaia,False
33.0,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,Bejaia,True
