income,food,bread,rice,meat,restaurant,housing,source
84.109,52.968,24459,22253,4432,1080,8.772,Entrepreneurial Activities
78.893,51.702,21972,17700,4195,3944,7.2,Entrepreneurial Activities
135.58,76.21,28425,16833,980,0,12.18,Entrepreneurial Activities
512.302,124.531,21028,18096,15194,78220,43.38,Wage/Salaries
75.287,29.874,10721,7810,3468,1200,27.276,Entrepreneurial Activities
235.571,100.797,19164,13924,13872,10860,39.36,Wage/Salaries
92.035,32.535,13774,10410,3145,340,12.246,Entrepreneurial Activities
139.106,81.012,32167,26320,3850,260,38.37,Entrepreneurial Activities
166.043,77.65,17343,12537,5368,33180,16.614,Wage/Salaries
116.36,84.513,56594,42166,2898,2000,10.578,Entrepreneurial Activities
104.708,35.468,12332,7240,3490,1494,10.842,Entrepreneurial Activities
93.202,50.861,19299,16224,483,640,21.15,Wage/Salaries
180.232,97.838,32200,19968,15455,15680,42.396,Wage/Salaries
101.355,39.065,15882,12440,5006,2600,22.044,Entrepreneurial Activities
27.278,12.743,5648,3168,1440,180,2.922,Wage/Salaries
187.392,92.376,17286,13195,6546,21000,28.344,Entrepreneurial Activities
55.64,39.829,20352,0,3631,1850,6.624,Entrepreneurial Activities
96.808,36.602,11597,8740,5355,3380,5.718,Wage/Salaries
122.529,68.315,25706,16380,8586,6174,24.852,Entrepreneurial Activities
518.975,149.555,39409,24914,19668,56320,34.02,Wage/Salaries
166.931,76.386,22064,18158,9882,20960,28.956,Wage/Salaries
166.074,41.405,14837,5900,2542,2560,9.6,Wage/Salaries
239.6,112.246,31707,26868,24851,8466,61.68,Wage/Salaries
496.8,158.204,47114,19660,6609,4400,39.3,Wage/Salaries
98.464,44.314,13816,9000,405,0,15.06,Entrepreneurial Activities
104.439,76.226,25849,16510,13879,5500,12.93,Wage/Salaries
72.414,31.978,11277,10608,3532,800,12.69,Entrepreneurial Activities
81.339,60.512,24950,22806,2120,2335,13.56,Entrepreneurial Activities
143.612,85.43,24658,21000,10710,20275,18.738,Wage/Salaries
572.0,174.721,33647,20745,22350,58100,58.716,Wage/Salaries
182.578,74.028,26384,24072,3950,19110,31.11,Wage/Salaries
269.336,111.53,31424,18122,20430,16450,53.76,Wage/Salaries
45.63,34.839,15606,15204,5810,1028,10.686,Wage/Salaries
147.005,79.53,36588,30167,11174,2590,25.668,Entrepreneurial Activities
140.74,65.294,18880,15600,8055,1560,32.952,Wage/Salaries
138.21,73.666,28526,20956,755,0,22.02,Entrepreneurial Activities
154.52,113.015,78040,68780,2360,1810,15.06,Wage/Salaries
121.114,53.587,19793,12440,5590,7390,27.702,Wage/Salaries
327.27,82.966,20507,12150,12400,3932,47.988,Wage/Salaries
84.635,62.368,33096,30128,2630,7284,15.84,Entrepreneurial Activities
134.379,41.044,16526,14924,3628,10099,20.016,Wage/Salaries
118.973,64.108,26339,24024,15040,0,16.47,Wage/Salaries
808.04,186.282,15790,11420,15455,104060,98.82,Wage/Salaries
274.409,70.616,23791,19360,8930,5070,81.168,Wage/Salaries
154.22,92.892,33424,28483,9112,16000,19.314,Entrepreneurial Activities
447.447,139.414,31776,24346,7870,51710,51.384,Wage/Salaries
121.376,70.897,28957,19188,9174,5700,20.7,Wage/Salaries
227.3,87.826,27887,17940,2610,36825,12.75,Wage/Salaries
132.751,63.558,28234,8502,3310,1050,10.62,Entrepreneurial Activities
191.96,96.389,25111,14250,15584,3100,55.44,Entrepreneurial Activities
300.179,133.149,41135,32277,15542,5080,42.546,Wage/Salaries
60.83,57.982,27858,16770,7181,3380,9.84,Entrepreneurial Activities
122.105,50.089,23446,18980,3760,5750,9.108,Wage/Salaries
88.83,45.39,12577,7380,0,0,13.2,Entrepreneurial Activities
284.777,63.537,7720,5230,6825,9390,55.392,Entrepreneurial Activities
304.414,113.474,25590,17338,13039,12180,28.62,Wage/Salaries
157.665,47.824,11882,8398,1912,10180,51.972,Wage/Salaries
175.673,78.001,29211,21700,12250,5550,12.126,Wage/Salaries
89.147,60.023,24465,14884,2176,9100,8.79,Entrepreneurial Activities
77.469,59.847,24168,0,1100,14170,6.996,Wage/Salaries
56.114,38.472,18399,16274,1590,3195,8.46,Entrepreneurial Activities
43.856,18.807,8225,6792,1460,0,8.352,Entrepreneurial Activities
94.245,55.838,13908,11142,13550,2100,12.006,Entrepreneurial Activities
94.305,61.765,28944,26425,5999,7590,23.544,Entrepreneurial Activities
354.519,78.961,16710,0,3720,18000,31.542,Wage/Salaries
105.895,62.472,20489,13988,1161,0,11.52,Entrepreneurial Activities
148.604,83.122,35010,26572,8890,7940,23.058,Entrepreneurial Activities
301.009,98.686,24206,15730,13380,9145,10.482,Wage/Salaries
106.502,67.312,41834,39600,3880,0,11.1,Wage/Salaries
139.02,75.696,17884,15830,5800,20940,31.752,Entrepreneurial Activities
290.077,57.654,12694,8910,8104,1000,74.838,Entrepreneurial Activities
186.365,83.835,22012,20150,5050,13900,15.672,Entrepreneurial Activities
262.692,100.037,36417,32852,9985,18350,44.016,Wage/Salaries
123.09,66.837,24800,19656,5218,13990,30.078,Wage/Salaries
263.817,94.534,30621,26100,4525,20540,20.34,Wage/Salaries
99.99,57.914,19099,14938,1720,3100,8.94,Entrepreneurial Activities
124.8,80.716,40725,25200,4050,4390,21.12,Wage/Salaries
235.475,90.414,22947,12087,13881,14160,53.442,Entrepreneurial Activities
276.274,146.218,29822,13695,26740,27830,78.216,Wage/Salaries
96.13,60.046,17924,15391,3756,2310,12.48,Entrepreneurial Activities
100.04,46.44,15602,14220,4928,3100,13.572,Wage/Salaries
68.685,27.901,15563,12949,1018,1950,4.938,Entrepreneurial Activities
320.4,86.332,19987,12911,13804,1900,45.618,Wage/Salaries
87.582,47.866,15072,11388,8620,2950,15.522,Entrepreneurial Activities
111.815,83.929,28491,22467,15294,4120,15.012,Wage/Salaries
126.74,74.722,26077,20684,1060,0,12.27,Entrepreneurial Activities
57.585,33.134,19360,15786,1990,0,8.58,Wage/Salaries
122.85,71.556,20495,14423,400,0,16.068,Entrepreneurial Activities
348.011,71.29,38261,33711,5320,0,17.79,Wage/Salaries
114.898,31.069,13829,10069,4379,2090,9.618,Wage/Salaries
268.664,116.227,32294,28870,13388,15080,49.98,Wage/Salaries
109.863,58.828,23074,13698,5806,3900,11.496,Entrepreneurial Activities
135.147,86.964,14779,11192,14314,6440,14.118,Wage/Salaries
211.332,67.043,23266,17056,5268,6440,67.89,Wage/Salaries
253.873,85.503,15675,10480,28168,11930,46.908,Wage/Salaries
102.365,90.41,29890,25668,17908,17000,19.386,Entrepreneurial Activities
458.202,66.819,16311,12320,6378,13520,40.68,Wage/Salaries
202.707,67.637,37467,34178,3632,2940,23.412,Wage/Salaries
103.817,62.19,24170,1080,3262,0,15.18,Wage/Salaries
334.974,95.528,41902,36300,6960,330,10.416,Wage/Salaries
147.438,83.358,20008,18100,1200,34301,7.38,Entrepreneurial Activities
94.553,70.931,27643,24596,15245,60,9.942,Wage/Salaries
43.14,18.857,7316,5519,845,0,6.39,Entrepreneurial Activities
115.085,81.328,21158,0,9244,13520,17.436,Wage/Salaries
101.569,69.967,31374,28154,2952,8355,12.972,Wage/Salaries
68.6,48.54,23272,21840,3680,5186,9.462,Entrepreneurial Activities
356.717,101.613,13963,10277,8986,56150,41.616,Wage/Salaries
544.832,33.288,15415,13575,1680,2100,12.9,Wage/Salaries
178.107,59.077,24372,22987,2563,16600,14.19,Entrepreneurial Activities
78.011,36.964,20744,18483,3378,520,8.442,Wage/Salaries
359.472,191.265,40114,24064,36660,49020,52.758,Wage/Salaries
76.079,41.312,11085,0,1140,1150,20.418,Entrepreneurial Activities
81.209,44.725,17020,13563,5890,5950,6.408,Wage/Salaries
119.894,86.179,44117,38976,6450,9500,12.042,Wage/Salaries
210.147,79.908,19038,11788,15006,5460,19.992,Wage/Salaries
77.496,45.152,26200,23829,2248,990,10.818,Entrepreneurial Activities
557.722,158.252,33920,22482,6320,28880,79.512,Wage/Salaries
73.325,41.916,19444,15854,6239,0,10.83,Entrepreneurial Activities
77.45,16.164,9180,3564,880,2500,3.15,Wage/Salaries
215.58,109.037,21392,15288,15678,40420,40.752,Wage/Salaries
277.688,120.316,32814,22444,20774,28180,32.928,Entrepreneurial Activities
298.32,40.615,10904,7720,7330,0,30.732,Entrepreneurial Activities
132.729,56.104,24547,20141,2844,2880,17.298,Wage/Salaries
174.692,101.019,20270,11428,18588,3820,14.112,Entrepreneurial Activities
214.404,85.245,22794,19088,18585,9100,49.404,Wage/Salaries
142.449,76.079,37542,33485,1900,11355,16.44,Entrepreneurial Activities
468.838,125.425,33334,29604,9980,32580,19.236,Wage/Salaries
397.244,111.423,20984,15280,7230,41175,63.648,Wage/Salaries
124.23,78.922,22324,17896,4020,880,22.992,Entrepreneurial Activities
511.911,113.432,23901,15385,33421,7300,76.278,Entrepreneurial Activities
671.261,98.211,20372,11570,11126,30270,74.67,Wage/Salaries
408.727,124.959,41015,33726,17440,7420,45.018,Entrepreneurial Activities
260.776,98.728,20381,14125,24684,15130,32.652,Wage/Salaries
65.155,34.625,14166,0,1310,150,5.94,Wage/Salaries
127.848,37.094,11966,10010,4755,1040,19.878,Entrepreneurial Activities
560.18,109.46,19285,10582,35885,4350,57.588,Wage/Salaries
376.972,125.995,20577,16057,9985,43850,57.0,Wage/Salaries
111.277,70.929,21734,19240,9286,8640,21.66,Wage/Salaries
114.71,49.904,15174,13208,6992,4800,13.404,Wage/Salaries
170.326,95.119,41856,29684,4476,3590,15.99,Wage/Salaries
