score,completed,lesson
82.7,35.0,Lesson A
65.2,31.0,Lesson A
55.3,33.0,Lesson A
28.8,25.0,Lesson B
31.2,18.0,Lesson B
47.7,24.0,Lesson B
89.7,37.0,Lesson A
50.9,34.0,Lesson B
21.9,16.0,Lesson B
62.5,33.0,Lesson A
27.3,18.0,Lesson B
75.2,47.0,Lesson B
69.0,30.0,Lesson A
69.3,34.0,Lesson A
27.6,22.0,Lesson B
39.7,18.0,Lesson A
30.3,24.0,Lesson A
25.1,14.0,Lesson A
44.3,31.0,Lesson A
36.0,29.0,Lesson B
62.1,28.0,Lesson A
66.6,36.0,Lesson B
47.8,21.0,Lesson A
52.2,38.0,Lesson B
52.7,24.0,Lesson A
78.5,43.0,Lesson A
19.9,23.0,Lesson B
50.9,9.0,Lesson A
57.3,34.0,Lesson A
56.0,34.0,Lesson B
35.4,24.0,Lesson A
44.7,35.0,Lesson B
20.0,21.0,Lesson B
54.1,23.0,Lesson A
40.9,18.0,Lesson A
94.1,49.0,Lesson A
60.0,25.0,Lesson B
55.7,29.0,Lesson A
51.2,33.0,Lesson B
44.6,39.0,Lesson B
49.3,27.0,Lesson B
49.9,37.0,Lesson B
81.2,47.0,Lesson A
46.9,28.0,Lesson A
50.8,28.0,Lesson A
28.3,26.0,Lesson B
74.7,37.0,Lesson B
52.8,25.0,Lesson A
31.4,25.0,Lesson A
79.7,41.0,Lesson B
56.3,53.0,Lesson B
52.9,20.0,Lesson A
65.3,40.0,Lesson A
58.0,25.0,Lesson A
59.6,35.0,Lesson A
66.4,38.0,Lesson A
55.7,24.0,Lesson A
52.1,21.0,Lesson A
52.2,23.0,Lesson A
43.6,35.0,Lesson B
66.4,31.0,Lesson A
59.5,35.0,Lesson B
52.6,29.0,Lesson A
40.8,28.0,Lesson B
38.0,25.0,Lesson B
91.7,44.0,Lesson B
27.3,19.0,Lesson B
34.9,26.0,Lesson B
46.5,33.0,Lesson B
72.2,40.0,Lesson A
67.8,33.0,Lesson A
67.6,37.0,Lesson A
54.0,44.0,Lesson B
93.8,42.0,Lesson A
57.2,31.0,Lesson A
69.7,37.0,Lesson B
64.3,38.0,Lesson B
69.2,52.0,Lesson A
60.3,38.0,Lesson A
55.0,36.0,Lesson A
51.9,43.0,Lesson B
70.7,28.0,Lesson A
46.4,24.0,Lesson B
63.8,33.0,Lesson A
58.6,36.0,Lesson B
46.3,21.0,Lesson B
41.6,30.0,Lesson B
41.8,31.0,Lesson B
71.6,25.0,Lesson A
72.9,39.0,Lesson B
48.6,40.0,Lesson B
28.8,13.0,Lesson B
17.6,28.0,Lesson B
33.6,23.0,Lesson B
58.3,32.0,Lesson A
60.0,31.0,Lesson B
75.8,53.0,Lesson B
27.4,23.0,Lesson B
46.6,21.0,Lesson A
57.3,29.0,Lesson B
