loan_amount,activity,country,gender
625,Food Production/Sales,Pakistan,female
250,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
250,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
275,Food Production/Sales,Pakistan,female
425,Food Production/Sales,Pakistan,female
425,Food Production/Sales,Pakistan,female
475,Food Production/Sales,Pakistan,female
225,Food Production/Sales,Pakistan,female
475,Food Production/Sales,Pakistan,female
525,Food Production/Sales,Pakistan,female
425,Food Production/Sales,Pakistan,female
475,Food Production/Sales,Pakistan,female
550,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
250,Food Production/Sales,Pakistan,female
600,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
800,Food Production/Sales,Pakistan,male
250,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
250,Food Production/Sales,Pakistan,female
475,Food Production/Sales,Pakistan,female
475,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
575,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
775,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
350,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
975,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
675,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
575,Food Production/Sales,Pakistan,female
575,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
675,Food Production/Sales,Pakistan,female
575,Food Production/Sales,Pakistan,female
775,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
775,Food Production/Sales,Pakistan,female
300,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
450,Food Production/Sales,Pakistan,female
350,Food Production/Sales,Pakistan,female
525,Food Production/Sales,Pakistan,female
500,Food Production/Sales,Pakistan,female
400,Food Production/Sales,Pakistan,female
250,Food Production/Sales,Kenya,female
525,Food Production/Sales,Kenya,female
700,Food Production/Sales,Kenya,male
600,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
375,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
75,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
425,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
475,Food Production/Sales,Kenya,female
825,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
325,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
200,Food Production/Sales,Kenya,female
625,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
300,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
975,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
625,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
600,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,male
350,Food Production/Sales,Kenya,female
825,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
300,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
925,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
600,Food Production/Sales,Kenya,female
200,Food Production/Sales,Kenya,male
200,Food Production/Sales,Kenya,female
200,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
525,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
400,Food Production/Sales,Kenya,female
325,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
325,Food Production/Sales,Kenya,male
575,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
575,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,male
125,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
275,Food Production/Sales,Kenya,female
475,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
525,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
125,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
400,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,male
350,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
250,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,male
175,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
325,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,female
350,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
575,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,female
675,Food Production/Sales,Kenya,female
300,Food Production/Sales,Kenya,female
175,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,female
225,Food Production/Sales,Kenya,male
450,Food Production/Sales,Kenya,female
