goals,home/away,year
4,home,1930
3,home,1930
2,home,1930
3,home,1930
1,home,1930
3,home,1930
4,home,1930
3,home,1930
1,home,1930
1,home,1930
6,home,1930
4,home,1930
1,home,1930
4,home,1930
3,home,1930
6,home,1930
6,home,1930
4,home,1930
3,home,1934
4,home,1934
3,home,1934
3,home,1934
5,home,1934
3,home,1934
7,home,1934
2,home,1934
3,home,1934
2,home,1934
1,home,1934
2,home,1934
1,home,1934
1,home,1934
3,home,1934
3,home,1934
2,home,1934
1,home,1938
6,home,1938
3,home,1938
3,home,1938
2,home,1938
6,home,1938
3,home,1938
2,home,1938
4,home,1938
1,home,1938
2,home,1938
8,home,1938
3,home,1938
2,home,1938
5,home,1938
2,home,1938
4,home,1938
4,home,1938
4,home,1950
2,home,1950
3,home,1950
3,home,1950
3,home,1950
2,home,1950
4,home,1950
2,home,1950
2,home,1950
1,home,1950
2,home,1950
1,home,1950
2,home,1950
8,home,1950
2,home,1950
5,home,1950
2,home,1950
7,home,1950
6,home,1950
3,home,1950
3,home,1950
2,home,1950
2,home,1954
1,home,1954
5,home,1954
1,home,1954
4,home,1954
9,home,1954
4,home,1954
2,home,1954
7,home,1954
5,home,1954
3,home,1954
1,home,1954
8,home,1954
7,home,1954
2,home,1954
4,home,1954
7,home,1954
4,home,1954
4,home,1954
7,home,1954
2,home,1954
4,home,1954
6,home,1954
4,home,1954
3,home,1954
3,home,1954
3,home,1958
2,home,1958
1,home,1958
1,home,1958
7,home,1958
1,home,1958
3,home,1958
1,home,1958
0,home,1958
1,home,1958
3,home,1958
3,home,1958
2,home,1958
2,home,1958
3,home,1958
2,home,1958
0,home,1958
2,home,1958
2,home,1958
4,home,1958
3,home,1958
2,home,1958
2,home,1958
6,home,1958
1,home,1958
2,home,1958
2,home,1958
1,home,1958
1,home,1958
2,home,1958
4,home,1958
3,home,1958
5,home,1958
6,home,1958
5,home,1958
2,home,1962
2,home,1962
1,home,1962
3,home,1962
2,home,1962
1,home,1962
2,home,1962
0,home,1962
3,home,1962
0,home,1962
3,home,1962
2,home,1962
4,home,1962
1,home,1962
6,home,1962
2,home,1962
2,home,1962
2,home,1962
0,home,1962
2,home,1962
5,home,1962
3,home,1962
0,home,1962
3,home,1962
2,home,1962
3,home,1962
1,home,1962
1,home,1962
3,home,1962
4,home,1962
1,home,1962
3,home,1962
0,home,1966
5,home,1966
2,home,1966
3,home,1966
1,home,1966
3,home,1966
2,home,1966
2,home,1966
2,home,1966
2,home,1966
3,home,1966
1,home,1966
3,home,1966
0,home,1966
1,home,1966
2,home,1966
0,home,1966
2,home,1966
3,home,1966
1,home,1966
2,home,1966
3,home,1966
2,home,1966
2,home,1966
1,home,1966
4,home,1966
2,home,1966
5,home,1966
2,home,1966
2,home,1966
2,home,1966
4,home,1966
0,home,1970
2,home,1970
3,home,1970
1,home,1970
1,home,1970
2,home,1970
4,home,1970
3,home,1970
0,home,1970
3,home,1970
2,home,1970
4,home,1970
1,home,1970
5,home,1970
1,home,1970
4,home,1970
1,home,1970
3,home,1970
3,home,1970
2,home,1970
0,home,1970
1,home,1970
1,home,1970
1,home,1970
4,home,1970
3,home,1970
4,home,1970
1,home,1970
3,home,1970
4,home,1970
1,home,1970
4,home,1970
0,home,1974
1,home,1974
2,home,1974
0,home,1974
0,home,1974
0,home,1974
3,home,1974
3,home,1974
0,home,1974
0,home,1974
1,home,1974
9,home,1974
0,home,1974
1,home,1974
0,home,1974
1,home,1974
1,home,1974
0,home,1974
0,home,1974
1,home,1974
1,home,1974
4,home,1974
3,home,1974
2,home,1974
0,home,1974
1,home,1974
4,home,1974
0,home,1974
1,home,1974
2,home,1974
0,home,1974
4,home,1974
0,home,1974
2,home,1974
1,home,1974
2,home,1974
0,home,1974
1,home,1974
0,home,1978
2,home,1978
3,home,1978
2,home,1978
1,home,1978
2,home,1978
3,home,1978
3,home,1978
3,home,1978
1,home,1978
6,home,1978
2,home,1978
0,home,1978
1,home,1978
1,home,1978
0,home,1978
3,home,1978
3,home,1978
0,home,1978
1,home,1978
1,home,1978
1,home,1978
4,home,1978
3,home,1978
0,home,1978
5,home,1978
3,home,1978
2,home,1978
1,home,1978
1,home,1978
2,home,1978
0,home,1978
2,home,1978
3,home,1978
3,home,1978
6,home,1978
2,home,1978
3,home,1978
0,home,1982
0,home,1982
2,home,1982
0,home,1982
10,home,1982
5,home,1982
1,home,1982
3,home,1982
1,home,1982
0,home,1982
1,home,1982
0,home,1982
1,home,1982
4,home,1982
4,home,1982
0,home,1982
1,home,1982
3,home,1982
4,home,1982
2,home,1982
2,home,1982
0,home,1982
4,home,1982
1,home,1982
5,home,1982
1,home,1982
2,home,1982
1,home,1982
2,home,1982
4,home,1982
3,home,1982
1,home,1982
0,home,1982
1,home,1982
1,home,1982
1,home,1982
0,home,1982
3,home,1982
2,home,1982
0,home,1982
2,home,1982
0,home,1982
1,home,1982
2,home,1982
4,home,1982
0,home,1982
3,home,1982
0,home,1982
0,home,1982
3,home,1982
3,home,1982
3,home,1982
1,home,1986
0,home,1986
0,home,1986
6,home,1986
3,home,1986
0,home,1986
1,home,1986
1,home,1986
1,home,1986
1,home,1986
0,home,1986
1,home,1986
1,home,1986
1,home,1986
1,home,1986
2,home,1986
1,home,1986
0,home,1986
1,home,1986
1,home,1986
1,home,1986
1,home,1986
6,home,1986
2,home,1986
0,home,1986
2,home,1986
2,home,1986
2,home,1986
2,home,1986
0,home,1986
1,home,1986
3,home,1986
0,home,1986
0,home,1986
0,home,1986
2,home,1986
3,home,1986
2,home,1986
1,home,1986
4,home,1986
0,home,1986
0,home,1986
3,home,1986
1,home,1986
1,home,1986
0,home,1986
1,home,1986
2,home,1986
0,home,1986
2,home,1986
4,home,1986
3,home,1986
0,home,1990
0,home,1990
0,home,1990
1,home,1990
1,home,1990
2,home,1990
4,home,1990
1,home,1990
1,home,1990
2,home,1990
1,home,1990
0,home,1990
2,home,1990
2,home,1990
1,home,1990
1,home,1990
0,home,1990
5,home,1990
1,home,1990
1,home,1990
0,home,1990
0,home,1990
1,home,1990
3,home,1990
1,home,1990
0,home,1990
1,home,1990
4,home,1990
2,home,1990
2,home,1990
1,home,1990
1,home,1990
0,home,1990
1,home,1990
1,home,1990
1,home,1990
2,home,1990
4,home,1990
0,home,1990
2,home,1990
0,home,1990
2,home,1990
1,home,1990
1,home,1990
0,home,1990
1,home,1990
1,home,1990
3,home,1990
1,home,1990
1,home,1990
2,home,1990
1,home,1990
2,home,1994
1,home,1994
1,home,1994
0,home,1994
1,home,1994
1,home,1994
1,home,1994
2,home,1994
2,home,1994
2,home,1994
4,home,1994
3,home,1994
1,home,1994
1,home,1994
2,home,1994
1,home,1994
0,home,1994
2,home,1994
3,home,1994
3,home,1994
1,home,1994
2,home,1994
2,home,1994
4,home,1994
0,home,1994
0,home,1994
3,home,1994
1,home,1994
0,home,1994
1,home,1994
1,home,1994
6,home,1994
1,home,1994
0,home,1994
0,home,1994
0,home,1994
3,home,1994
3,home,1994
1,home,1994
3,home,1994
2,home,1994
1,home,1994
1,home,1994
1,home,1994
2,home,1994
2,home,1994
2,home,1994
2,home,1994
1,home,1994
0,home,1994
4,home,1994
0,home,1994
2,home,1998
2,home,1998
2,home,1998
1,home,1998
0,home,1998
0,home,1998
3,home,1998
2,home,1998
1,home,1998
0,home,1998
1,home,1998
1,home,1998
1,home,1998
2,home,1998
1,home,1998
2,home,1998
1,home,1998
3,home,1998
1,home,1998
3,home,1998
1,home,1998
4,home,1998
1,home,1998
0,home,1998
0,home,1998
2,home,1998
5,home,1998
2,home,1998
5,home,1998
1,home,1998
1,home,1998
2,home,1998
2,home,1998
1,home,1998
0,home,1998
1,home,1998
2,home,1998
2,home,1998
6,home,1998
1,home,1998
1,home,1998
2,home,1998
2,home,1998
0,home,1998
1,home,1998
1,home,1998
1,home,1998
0,home,1998
1,home,1998
4,home,1998
1,home,1998
1,home,1998
2,home,1998
2,home,1998
0,home,1998
2,home,1998
0,home,1998
3,home,1998
2,home,1998
0,home,1998
1,home,1998
2,home,1998
1,home,1998
0,home,1998
0,home,2002
1,home,2002
1,home,2002
8,home,2002
1,home,2002
2,home,2002
1,home,2002
3,home,2002
2,home,2002
2,home,2002
0,home,2002
0,home,2002
2,home,2002
2,home,2002
2,home,2002
3,home,2002
1,home,2002
1,home,2002
1,home,2002
0,home,2002
2,home,2002
0,home,2002
3,home,2002
1,home,2002
4,home,2002
1,home,2002
1,home,2002
1,home,2002
2,home,2002
1,home,2002
4,home,2002
1,home,2002
2,home,2002
3,home,2002
0,home,2002
0,home,2002
1,home,2002
0,home,2002
1,home,2002
2,home,2002
2,home,2002
3,home,2002
1,home,2002
1,home,2002
0,home,2002
0,home,2002
3,home,2002
3,home,2002
0,home,2002
1,home,2002
1,home,2002
1,home,2002
2,home,2002
0,home,2002
0,home,2002
2,home,2002
1,home,2002
1,home,2002
0,home,2002
0,home,2002
1,home,2002
1,home,2002
2,home,2002
0,home,2002
4,home,2006
0,home,2006
1,home,2006
0,home,2006
2,home,2006
0,home,2006
