Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,19872.859375,20125.580078,19677.939453,19864.089844,19864.089844,6482450000
2017-02-01,19923.810547,20851.330078,19831.089844,20812.240234,20812.240234,6185580000
2017-03-01,20957.289063,21169.109375,20412.800781,20663.220703,20663.220703,6941970000
2017-04-01,20665.169922,21070.900391,20379.550781,20940.509766,20940.509766,5392630000
2017-05-01,20962.730469,21112.320313,20553.449219,21008.650391,21008.650391,6613570000
2017-06-01,21030.550781,21535.029297,20994.220703,21349.630859,21349.630859,7214590000
2017-07-01,21392.300781,21929.800781,21279.300781,21891.119141,21891.119141,5569720000
2017-08-01,21961.419922,22179.109375,21600.339844,21948.099609,21948.099609,6150060000
2017-09-01,21981.769531,22419.509766,21709.630859,22405.089844,22405.089844,6342130000
2017-10-01,22423.470703,23485.250000,22416.000000,23377.240234,23377.240234,7302910000
2017-11-01,23442.900391,24327.820313,23242.750000,24272.349609,24272.349609,7335640000
2017-12-01,24305.400391,24876.070313,23921.900391,24719.220703,24719.220703,6589890000
